split_a,pair_type,mean_hTw,frac_positive,n_pairs
13,within_long_d12,-0.8352,0.0,30
13,within_long_d13,-0.8456,0.0,28
13,within_long_d14,-0.8611,0.0,26
13,within_long_d15,-0.8753,0.0,24
13,within_long_d16,-0.8871,0.0,22
13,within_long_d17,-0.8915,0.0,20
13,within_long_d18,-0.8858,0.0,18
13,within_long_d19,-0.8891,0.0,16
13,within_long_d20,-0.9071,0.0,14
13,within_long_d21,-0.9538,0.0,12
13,within_long_d22,-0.9861,0.0,10
13,within_long_d23,-0.9833,0.0,8
13,within_long_d24,-0.9971,0.0,6
13,within_long_d25,-0.9977,0.0,4
13,within_long_d26,-0.9894,0.0,2
14,within_long,3.1735,0.5813,130000
14,within_short,11.7247,0.8898,36400
14,cut,-1.0005,0.0,72800
14,cut,-5.5649,0.0,72800
14,within_long_d1,6.3924,1.0,50
14,within_long_d2,5.7994,1.0,48
14,within_long_d3,6.4436,1.0,46
14,within_long_d4,6.8792,1.0,44
14,within_long_d5,6.908,1.0,42
14,within_long_d6,6.1678,1.0,40
14,within_long_d7,6.1203,1.0,38
14,within_long_d8,7.2884,1.0,36
14,within_long_d9,2.5523,0.9957,34
14,within_long_d10,-0.8985,0.0,32
14,within_long_d11,-0.8933,0.0,30
14,within_long_d12,-0.8982,0.0,28
14,within_long_d13,-0.9078,0.0,26
14,within_long_d14,-0.9197,0.0,24
14,within_long_d15,-0.9302,0.0,22
14,within_long_d16,-0.934,0.0,20
14,within_long_d17,-0.9265,0.0,18
14,within_long_d18,-0.9278,0.0,16
14,within_long_d19,-0.9446,0.0,14
14,within_long_d20,-0.9917,0.0,12
14,within_long_d21,-1.0222,0.0,10
14,within_long_d22,-1.0173,0.0,8
14,within_long_d23,-1.0293,0.0,6
14,within_long_d24,-1.028,0.0,4
14,within_long_d25,-1.0239,0.0,2
15,within_long,3.3434,0.5989,120000
15,within_short,9.9107,0.8535,42000
15,cut,-1.0383,0.0,75000
15,cut,-4.4219,0.0,75000
15,within_long_d1,6.4994,1.0,48
15,within_long_d2,5.8822,1.0,46
15,within_long_d3,6.5529,1.0,44
15,within_long_d4,6.9864,1.0,42
15,within_long_d5,7.0101,1.0,40
15,within_long_d6,6.2494,1.0,38
15,within_long_d7,6.2146,1.0,36
15,within_long_d8,7.3953,1.0,34
15,within_long_d9,2.511,0.9789,32
15,within_long_d10,-0.9484,0.0,30
15,within_long_d11,-0.9402,0.0,28
15,within_long_d12,-0.9429,0.0,26
15,within_long_d13,-0.9481,0.0,24
15,within_long_d14,-0.9556,0.0,22
15,within_long_d15,-0.9578,0.0,20
15,within_long_d16,-0.948,0.0,18
15,within_long_d17,-0.949,0.0,16
15,within_long_d18,-0.9684,0.0,14
15,within_long_d19,-1.0144,0.0,12
15,within_long_d20,-1.0477,0.0,10
15,within_long_d21,-1.0444,0.0,8
15,within_long_d22,-1.0561,0.0,6
15,within_long_d23,-1.0537,0.0,4
15,within_long_d24,-1.0509,0.0,2
16,within_long,3.5467,0.6175,110400
16,within_short,8.3049,0.8205,48000
16,cut,-1.0679,0.0,76800
16,cut,-3.5058,0.0,76800
16,within_long_d1,6.6345,1.0,46
16,within_long_d2,5.9697,1.0,44
16,within_long_d3,6.6806,1.0,42
16,within_long_d4,7.1368,1.0,40
16,within_long_d5,7.1763,1.0,38
16,within_long_d6,6.3657,1.0,36
16,within_long_d7,6.3208,1.0,34
16,within_long_d8,7.4913,1.0,32
16,within_long_d9,2.4773,0.9628,30
16,within_long_d10,-0.9911,0.0,28
16,within_long_d11,-0.979,0.0,26
16,within_long_d12,-0.9765,0.0,24
16,within_long_d13,-0.9753,0.0,22
16,within_long_d14,-0.9709,0.0,20
16,within_long_d15,-0.9563,0.0,18
16,within_long_d16,-0.9515,0.0,16
16,within_long_d17,-0.965,0.0,14
16,within_long_d18,-1.0106,0.0,12
16,within_long_d19,-1.043,0.0,10
16,within_long_d20,-1.0366,0.0,8
16,within_long_d21,-1.0494,0.0,6
16,within_long_d22,-1.0506,0.0,4
16,within_long_d23,-1.0528,0.0,2
17,within_long,3.7401,0.6384,101200
17,within_short,6.6133,0.7924,54400
17,cut,-1.1063,0.0,78200
17,cut,-2.5623,0.0,78200
17,within_long_d1,6.6812,1.0,44
17,within_long_d2,6.0435,1.0,42
