split_a,pair_type,mean_cos,frac_positive,n_pairs
7,cut,-0.6624,0.0,54600
7,cut,-0.6624,0.0,54600
7,within_long_d1,0.9936,1.0,76
7,within_long_d2,0.9841,1.0,74
7,within_long_d3,0.9748,1.0,72
7,within_long_d4,0.9651,1.0,70
7,within_long_d5,0.9552,1.0,68
7,within_long_d6,0.9457,1.0,66
7,within_long_d7,0.9375,1.0,64
7,within_long_d8,0.9318,1.0,62
7,within_long_d9,0.9276,1.0,60
7,within_long_d10,0.9246,1.0,58
7,within_long_d11,0.9229,1.0,56
7,within_long_d12,0.9224,1.0,54
7,within_long_d13,0.9227,1.0,52
7,within_long_d14,0.9229,1.0,50
7,within_long_d15,0.9218,1.0,48
7,within_long_d16,0.9201,1.0,46
7,within_long_d17,0.9187,1.0,44
7,within_long_d18,0.9176,1.0,42
7,within_long_d19,0.9164,1.0,40
7,within_long_d20,0.9151,1.0,38
7,within_long_d21,0.9137,1.0,36
7,within_long_d22,0.9122,1.0,34
7,within_long_d23,0.9107,1.0,32
7,within_long_d24,0.9093,1.0,30
7,within_long_d25,0.9083,1.0,28
7,within_long_d26,0.9076,1.0,26
7,within_long_d27,0.9074,1.0,24
7,within_long_d28,0.9076,1.0,22
7,within_long_d29,0.9086,1.0,20
7,within_long_d30,0.9109,1.0,18
7,within_long_d31,0.9142,1.0,16
7,within_long_d32,0.9173,1.0,14
7,within_long_d33,0.9184,1.0,12
7,within_long_d34,0.918,1.0,10
7,within_long_d35,0.9132,1.0,8
7,within_long_d36,0.9032,1.0,6
7,within_long_d37,0.8948,1.0,4
7,within_long_d38,0.8844,1.0,2
8,within_long,0.9138,1.0,281200
8,within_short,0.8904,1.0,11200
8,cut,-0.6072,0.0,60800
8,cut,-0.6072,0.0,60800
8,within_long_d1,0.9914,1.0,74
8,within_long_d2,0.9787,1.0,72
8,within_long_d3,0.9666,1.0,70
8,within_long_d4,0.954,1.0,68
8,within_long_d5,0.9413,1.0,66
8,within_long_d6,0.929,1.0,64
8,within_long_d7,0.9183,1.0,62
8,within_long_d8,0.9109,1.0,60
8,within_long_d9,0.9053,1.0,58
8,within_long_d10,0.901,1.0,56
8,within_long_d11,0.8986,1.0,54
8,within_long_d12,0.8979,1.0,52
8,within_long_d13,0.8982,1.0,50
8,within_long_d14,0.8983,1.0,48
8,within_long_d15,0.8968,1.0,46
8,within_long_d16,0.8943,1.0,44
8,within_long_d17,0.8924,1.0,42
8,within_long_d18,0.8909,1.0,40
8,within_long_d19,0.8891,1.0,38
8,within_long_d20,0.8872,1.0,36
8,within_long_d21,0.8851,1.0,34
8,within_long_d22,0.8829,1.0,32
8,within_long_d23,0.881,1.0,30
8,within_long_d24,0.8795,1.0,28
8,within_long_d25,0.8783,1.0,26
8,within_long_d26,0.8774,1.0,24
8,within_long_d27,0.8772,1.0,22
8,within_long_d28,0.8781,1.0,20
8,within_long_d29,0.8807,1.0,18
8,within_long_d30,0.8847,1.0,16
8,within_long_d31,0.8881,1.0,14
8,within_long_d32,0.889,1.0,12
8,within_long_d33,0.8884,1.0,10
8,within_long_d34,0.8824,1.0,8
8,within_long_d35,0.8704,1.0,6
8,within_long_d36,0.8592,1.0,4
8,within_long_d37,0.8458,1.0,2
9,within_long,0.8728,1.0,266400
9,within_short,0.9029,1.0,14400
9,cut,-0.557,0.0,66600
9,cut,-0.557,0.0,66600
9,within_long_d1,0.9866,1.0,72
9,within_long_d2,0.9672,1.0,70
9,within_long_d3,0.9494,1.0,68
9,within_long_d4,0.931,1.0,66
9,within_long_d5,0.9128,1.0,64
9,within_long_d6,0.8953,1.0,62
9,within_long_d7,0.8803,1.0,60
9,within_long_d8,0.8699,1.0,58
9,within_long_d9,0.8621,1.0,56
9,within_long_d10,0.8563,1.0,54
9,within_long_d11,0.8529,1.0,52
9,within_long_d12,0.8521,1.0,50
9,within_long_d13,0.8525,1.0,48
9,within_long_d14,0.8528,1.0,46
9,within_long_d15,0.8504,1.0,44
9,within_long_d16,0.8465,1.0,42
9,within_long_d17,0.8435,1.0,40
9,within_long_d18,0.8406,1.0,38
9,within_long_d19,0.8372,1.0,36
9,within_long_d20,0.8334,1.0,34
9,within_long_d21,0.8293,1.0,32
9,within_long_d22,0.8252,1.0,30
9,within_long_d23,0.8213,1.0,28
9,within_long_d24,0.8176,1.0,26
