=== Job info ===
Node:  gnode10
Array task: 2  -> seed=3000
NVIDIA H200 NVL, 143771 MiB
PyTorch 2.11.0+cu130 | CUDA: True | bf16: True
================

========================================================================
  Paper reproduction (standard Transformer): ER(n=20, p=0.08), filter=diam9, seed=3000
  arch=roberta, d_model=512, single-head, normalized-ReLU, 2 layers, online, bf16
  Output: runs/repro_paper_n20_roberta/n20_p008_diam9_seed3000
========================================================================

Generating 10,000 ER test graphs (D≤9) with 16 workers …
  done in 6.5s
Generating 10,000 two_chains test graphs …
  done in 0.4s
Generating 10,000 two_cliques test graphs …
  done in 0.5s
  device: cuda
  arch: roberta
  parameters: 6,326,804
  Starting training: 1,000,000 steps × batch 1000 = 1,000,000,000 samples
  step  640000 | lr=2.88e-05 | loss=0.000324 | ER=0.9974 | 2chain=0.0000 | 2clique=0.0000 | 93.8s/5000
  step  645000 | lr=2.81e-05 | loss=0.000317 | ER=0.9973 | 2chain=0.0000 | 2clique=0.0000 | 93.6s/5000
  step  650000 | lr=2.73e-05 | loss=0.000317 | ER=0.9987 | 2chain=0.0000 | 2clique=0.0000 | 94.3s/5000
  step  655000 | lr=2.67e-05 | loss=0.000309 | ER=0.9980 | 2chain=0.0000 | 2clique=0.0000 | 93.0s/5000
  step  660000 | lr=2.60e-05 | loss=0.000310 | ER=0.9985 | 2chain=0.0000 | 2clique=0.0000 | 93.1s/5000
  step  665000 | lr=2.53e-05 | loss=0.000307 | ER=0.9979 | 2chain=0.0001 | 2clique=0.0000 | 93.0s/5000
  step  670000 | lr=2.46e-05 | loss=0.000302 | ER=0.9981 | 2chain=0.0000 | 2clique=0.0000 | 93.5s/5000
  step  675000 | lr=2.39e-05 | loss=0.000300 | ER=0.9984 | 2chain=0.0000 | 2clique=0.0000 | 93.7s/5000
  step  680000 | lr=2.33e-05 | loss=0.000293 | ER=0.9981 | 2chain=0.0000 | 2clique=0.0000 | 93.2s/5000
  step  685000 | lr=2.26e-05 | loss=0.000292 | ER=0.9987 | 2chain=0.0002 | 2clique=0.0000 | 93.5s/5000
  step  690000 | lr=2.19e-05 | loss=0.000289 | ER=0.9979 | 2chain=0.0001 | 2clique=0.0000 | 92.5s/5000
  step  695000 | lr=2.13e-05 | loss=0.000284 | ER=0.9981 | 2chain=0.0000 | 2clique=0.0000 | 92.7s/5000
  step  700000 | lr=2.06e-05 | loss=0.000282 | ER=0.9981 | 2chain=0.0000 | 2clique=0.0000 | 92.4s/5000
  step  705000 | lr=2.00e-05 | loss=0.000279 | ER=0.9982 | 2chain=0.0000 | 2clique=0.0000 | 92.7s/5000
